Company Name,Net Sales,PBIDTM (%),PATM (%),ROE (%),ROCE (%),Asset Turnover(x),Total Debt/Equity(x),Cons OCF,Cons PAT,OCF/PAT,FR_Dividend Pay Out Ratio(%),Free Float,Ev/EBITDA,M/Sales
De Nora India Ltd.,13.22,14.98,1.03,0.53,5.11,0.42,0.05,3.7,0.14,26.75,0,33.42,26.82,2.52
Denso India Ltd.,736.33,5.56,2.37,9.39,13.66,1.82,0.05,41.48,18.89,2.2,29.52,16.97,3.3,0.33
DIC India Ltd.,504.35,8.63,4.05,10.85,15.23,1.4,0.2,34.9,22.07,1.58,16.64,23.26,4.24,0.31
Disa India Ltd.,71.29,22.97,12.86,27.74,41.32,1.17,0.01,10.9,9.86,1.11,0,13.72,14.51,3.43
Dixon Technologies (India) Ltd.,642.5,4.37,2.35,21.32,19.07,2.99,0.97,#N/A,15.1,#N/A,6.16,#N/A,0,0
D-Link (India) Ltd.,132.79,8.21,5.41,11.09,15.52,1.56,0,13.12,7.19,1.83,41.75,29.16,11.49,0.67
Elantas Beck India Ltd.,195.19,23.65,15.01,25.76,37.58,1.42,0,40.43,31.62,1.28,11.28,11.45,6.77,1.57
Endurance Technologies Ltd.,2345.88,13.03,-0.06,-0.53,8.57,1.25,3.57,277.52,3.57,77.76,0,#N/A,0,0
Enkei Wheels (India) Ltd.,166.7,7.08,-5.2,-1304.27,-1.98,0.89,121.66,0,-9.4,0,0,#N/A,0,0
Eros International Media Ltd.,640.88,20.19,12.89,41.91,30.29,0.6,0.92,329.72,82.11,4.02,0,#N/A,0,0
Esab India Ltd.,420.63,24.19,14.63,43.51,66.88,2.11,0,72.04,66.18,1.09,46.52,30.37,6.11,1.61
Ester Industries Ltd.,395.37,14.68,6.61,18.23,23.11,1.56,0.32,45.98,27.85,1.65,22.58,13.85,2.25,0.31
Expleo Solutions Ltd.,82.86,12.68,9.94,14.18,15.89,1.13,0,15.24,8.23,1.85,12.21,34.04,15.99,3.38
Federal-Mogul Goetze (India) Ltd.,785.36,18.27,7.72,19.93,21.48,1.18,0.27,146.16,58.76,2.49,3.81,16.19,6.79,0.78
Finolex Industries Ltd.,1454.93,17.72,8.31,24.34,16.14,0.79,1.42,310.98,132.32,2.35,28.12,46.81,10.08,0.44
Foseco India Ltd.,125.34,16.95,9.35,22.08,28.28,1.42,0.19,21.29,12.51,1.7,45.96,13.52,8.72,1.62
GE Power India Ltd.,2041.38,13.98,8.05,37.71,56.01,0.7,0,355.71,167.48,2.12,40.02,22.07,12.33,1.48
Glaxosmithkline Consumer Healthcare Ltd.,1921.5,19.75,11.49,27.95,42.96,1.09,0,399.99,232.78,1.72,32.52,33.71,10.86,2.68
Glaxosmithkline Pharmaceuticals Ltd.,1907.77,39.88,25.66,29.77,45.16,0.46,0,511.51,507.86,1.01,50.78,33.68,15.22,7.04
GMM Pfaudler Ltd.,193.75,9.78,4.64,10.36,17.5,1.18,0,7.91,9.47,0.84,43.22,21.35,5,0.59
Gokaldas Exports Ltd.,1072.39,6.6,-0.17,-0.4,3.83,1.15,0.75,82.42,-1.82,-45.22,0,5.09,10.09,0.4
Goodricke Group Ltd.,371.18,17.34,11.27,44.16,49.95,1.24,0.08,56.76,41.94,1.35,20.6,17.4,6.84,0.87
Goodyear India Ltd.,1015.1,11.97,6.84,39.64,62.54,2.51,0,146.41,73.09,2,22.09,23.5,3.26,0.42
GP Petroleums Ltd.,279.66,0.78,-1.93,-5.54,0.69,1.24,0,-10.36,-6.12,1.69,-0.72,2.2,6.15,0.38
Grindwell Norton Ltd.,702.22,19.47,11.55,26.28,37.59,1.04,0.07,103.57,86.36,1.2,38.46,26.94,7.26,1.35
Gujarat Gas Company Ltd. - (Amalgamation),1419.67,21.24,12.14,23.77,28.97,0.83,0.2,178.16,174.17,1.02,59.28,21.11,9.48,1.93
Gulf Oil Lubricants India Ltd.,0,0,0,2.44,2.44,0,0,0,0,1.91,0,#N/A,0,0
Heidelberg Cement India Ltd.,936.39,19.7,12.89,22.19,27.23,1.06,0,214.64,134.04,1.6,0,19.67,2.87,0.98
Hella India Lighting Ltd.,36.32,2.22,-4.31,0,1.16,1.11,1.98,1.01,-1.7,-0.59,0,16.9,0.28,1.65
Hexaware Technologies Ltd.,1038.56,16.78,12.92,17.79,19.01,0.96,0.02,151.08,134.18,1.13,14.99,18.88,3.78,0.9
Hinduja Foundries Ltd. - (Amalgamated),391.54,13.93,0.08,0.25,6.73,0.49,2.75,20.54,0.35,59.34,0,11.22,32.54,0.72
Hindustan Unilever Ltd.,17764.27,15.82,11.4,87.76,103.92,2.12,0,3479.57,2156.63,1.61,67.62,38.62,23.54,4.04
Hindustan Zinc Ltd.,8016.97,63.91,47.9,24.88,31.08,0.47,0,4077.24,4041.41,1.01,6.27,5.54,8.93,6.16
Honda Siel Power Products Ltd.,308.41,14.71,3.93,6.4,10.08,0.94,0,24.51,12.69,1.93,31.97,27.44,5.78,1.05
Honeywell Automation India Ltd.,1173.07,16.28,11.12,35.18,47.62,1.8,0,159.91,132.79,1.2,6.66,16.83,8.63,1.41
Huhtamaki PPL Ltd.,577.69,13.07,5.97,14.89,17.61,1.43,0.09,66.76,37.38,1.79,50.31,29.14,4.76,0.57
Indian Hume Pipe Company Ltd.,560.44,13.49,4.79,16.2,19.73,0.98,1.1,36.36,28.57,1.27,16.96,28.34,6.97,0.44
Indostar Capital Finance Ltd.,0.07,3.14,2.17,0.07,0.1,0.03,0,#N/A,0,#N/A,0,#N/A,0,0
INEOS Styrolution India Ltd.,559.13,14.96,8.08,19.48,30.3,1.16,0,39.59,48.99,0.81,12.56,16.67,3.94,0.48
Infinite Computer Solutions (India) Ltd.,664.3,17.56,12.64,35.04,40.22,1.28,0.15,50.43,79.17,0.64,0,18.18,13.59,1.8
Ingersoll-Rand (India) Ltd.,356.56,22.02,12.58,6.24,10.03,0.34,0,37.48,47.4,0.79,39.96,21.7,5.56,2.72
ITC Ltd.,19135.87,25.27,15.24,29.69,44.22,1.26,0.01,4457.26,4168.18,1.07,91.6,32.36,15.38,5.29
ITD Cementation India Ltd.,1470.2,10.15,0.37,1.54,12.32,1.08,1.41,46.79,5.41,8.66,21.3,25.61,5.02,0.14
Jagatjit Industries Ltd.,677.39,5.11,0.7,3.67,8.27,1.3,0.9,35.64,6.46,5.52,0,7.76,8.88,0.42
Jagran Prakashan Ltd.,941.89,33.61,18.68,30.01,37.04,0.85,0.2,210.04,175.9,1.19,59.92,19.72,13.06,3.51
Jash Engineering Ltd.,63.65,18.35,9.48,33.77,27.61,1.24,1.02,#N/A,6.4,#N/A,7.22,#N/A,0,0
Jayant Agro-Organics Ltd.,904.01,4.57,1.38,13.95,14.4,2.83,2.5,-78.05,12.47,-6.26,18.05,15.94,5.59,0.11
Jet Airways (India) Ltd.,12027.98,11.84,-3.49,-337.01,4.04,0.55,-168.81,1668.84,-420.18,-3.97,0,11.37,0.05,0.24
Johnson Controls - Hitachi Air Conditioning India Ltd.,640.9,10.25,6.73,36.74,32.36,1.75,0.41,37.08,46.14,0.8,7.46,28.67,6.05,0.49
Kansai Nerolac Paints Ltd.,1706.38,15.3,8.92,23.19,29.41,1.59,0.14,150.46,165.5,0.91,24.42,14.71,12.83,1.62
Kingfa Science & Technology (India) Ltd.,109.22,6,-0.01,-0.06,7.55,1.52,1.45,5.32,-0.02,-350.03,0,20.07,64.56,0.22
Kokuyo Camlin Ltd.,330.87,7.96,3.41,33.87,25.43,2.14,0.69,18.93,11.64,1.63,25.89,38.69,19.01,0.65
Lemon Tree Hotels Ltd.,72.36,94.04,37.13,6.92,9.62,0.12,0.51,44.31,26.86,1.65,0,#N/A,0,0
Linde India Ltd.,804.06,16.68,6.37,5.09,8.2,0.52,0.11,92.83,53.24,1.74,24.03,10.52,12.53,2.17
Mac Charles (India) Ltd.,42.04,86.52,59.71,21.52,27.19,0.28,0.02,37.06,25.1,1.48,28.71,22.19,10.87,4.6
Mahanagar Gas Ltd.,772.81,34.46,18.99,22.23,33.11,0.85,0.01,209.76,161.77,1.3,30.38,#N/A,0,0
Mahindra CIE Automotive Ltd.,1327.42,-0.08,-13.59,-24.23,-11.27,0.7,0.84,43.7,-183.78,-0.24,0,17.5,9.45,0.27
Maruti Suzuki India Ltd.,29591.5,14,7.84,23.4,31.64,2.1,0.07,3168.1,2624.7,1.21,6.61,24.84,14.88,1.84
Monsanto India Ltd. - (Amalgamated),410.23,16.75,12.83,16.14,17.62,0.79,0,64.2,53.82,1.19,28.06,17.35,22.29,3.63
Morganite Crucible (India) Ltd.,65.68,23.28,11.11,34.79,31.64,0.93,0.57,9.91,7.23,1.37,0,25,4.85,0.58
Moschip Technologies Ltd.,25.49,-24.2,-51.84,-45.05,-26.2,0.5,0.71,-3.63,-13.21,0.27,0,61.68,0,1.59
MPS Ltd.,164.2,9.07,2.87,5.61,6.63,1.18,0.05,8.63,4.72,1.83,35.66,28.23,3.81,0.52
Multibase India Ltd.,33.39,12.03,7.57,14.94,18.67,1.31,0.05,6.44,2.69,2.39,0,23.02,13.52,1.08
Music Broadcast Ltd.,80.75,-0.27,-42.41,0,-14.07,0.39,-5.05,-1.03,-34.24,0.03,0,#N/A,0,0
Nestle India Ltd.,5129.38,19.72,12.54,124.22,174.16,2.8,0,927.91,655,1.42,71.39,31.5,21.37,4.53
Newgen Software Technologies Ltd.,101.58,8.54,1.81,2.72,7.6,1.16,0.02,3.06,1.84,1.67,24.93,#N/A,0,0
NIIT Ltd.,1199.35,13.86,3.17,7.75,10.34,0.9,0.8,20.54,70.23,0.29,32.91,35.1,8.83,0.87
Nirlon Ltd.,54.22,43.58,-32.56,-34.1,0.87,0.08,11.28,80.95,-18.34,-4.41,0,45.34,44.03,12.74
Novartis India Ltd.,624.1,29.17,18.55,20.93,32.49,0.88,0,97.47,115.99,0.84,27.55,22.38,8.46,2.58
Oracle Financial Services Software Ltd.,2873.97,32.79,26.93,19.86,22.93,0.6,0,713.84,773.66,0.92,0,19.53,14.17,5.01
Orient Green Power Company Ltd.,55.07,11.75,-24.88,-4.75,-0.4,0.08,1.09,-129.85,-12.77,10.17,0,#N/A,0,0
Page Industries Ltd.,346.74,20.66,11.42,42.63,44.34,1.61,0.55,29.76,39.61,0.75,59.13,10.55,12.09,2.55
Panasonic Appliances India Company Ltd.,135.1,4.41,1.34,10.57,18.3,2.94,0.35,2.17,1.93,1.12,44.31,21.43,9.57,0.42
Panasonic Carbon India Company Ltd.,29.04,34.94,21.5,12.44,18.97,0.44,0,4.77,6.69,0.71,50.21,25.97,1.21,2.01
Phoenix Lamps Ltd. - (Amalgamated),436.94,2.03,-4.2,-15.14,-1.22,1.42,0.98,28.3,-19.98,-1.42,0,23.66,10.84,0.56
Polycab India Ltd.,2513.92,5.02,4.53,15.85,7.54,1.31,1.24,0,113.96,0,0,#N/A,0,0
Procter & Gamble Health Ltd.,473.11,21.39,13.47,14.26,21,0.86,0,41.74,65.48,0.64,50.7,29.87,6.32,1.79
Puravankara Ltd.,478.36,36.33,27.18,9.12,7.16,0.18,0.59,55.53,145.32,0.38,14.69,4.47,23.81,5.05
R Systems International Ltd.,327.53,7.64,2.36,4.55,6.72,1.33,0.01,43.26,7.72,5.6,38.29,33.99,1.03,0.3
Ranbaxy Laboratories Ltd.- (Amalgamation),7594.56,17.71,4.08,7.53,13.08,0.64,0.87,-162.13,296.49,-0.55,0,15.56,4.04,2.02
Rhodia Specialty Chemicals India Ltd.,95.13,-5.33,-19.85,-35.17,-28.34,1,0.64,-24.01,-20.57,1.17,0,16.22,2.56,0.38
Ricoh India Ltd.,256.53,12.32,6.72,16.16,26.86,1.31,0,35.39,17.24,2.05,0,25.14,2.65,0.38
Saint-Gobain Sekurit India Ltd.,84.11,14.33,5.53,9.48,9.23,1.12,0.19,18.86,5.04,3.74,0,14.23,19.41,2.41
Sanofi India Ltd.,974.41,26,15.81,18.17,27.88,0.89,0,137.15,157.41,0.87,29.26,17.08,9.56,3.24
Saurashtra Cement Ltd.,574.34,17.55,3.22,123.66,26.73,1.31,6.63,133.72,19.97,6.7,0,15.13,5.5,0.29
Schaeffler India Ltd.,797.69,14.24,7.75,15.2,23.26,1.46,0,163.36,65.54,2.49,11.41,17.3,4.89,1.02
Seamec Ltd.,424.84,56.46,48,48.81,49.87,0.86,0,217.8,203.91,1.07,4.99,20.11,2.49,1.6
Shreyas Shipping & Logistics Ltd.,153.99,1.28,-10.2,-11.23,-4.35,0.58,0.61,7.83,-15.71,-0.5,0,26.71,5.47,0.25
SKF India Ltd.,1570.93,10.38,5.66,13.86,21.15,1.64,0,227.49,94.25,2.41,22.38,25.48,7.6,0.97
Sobha Ltd.,1129.87,22.08,12.2,9.91,7.03,0.3,0.87,332.12,134.1,2.48,18.28,17.25,13.63,2.14
Solvay Pharma India Ltd. (Amalgamated),241.73,25.78,16.13,33.45,50.69,1.53,0,69.67,40.03,1.74,41,22.67,10.89,2.89
Sterlite Industries (India) Ltd.(Merged),24500.6,31.05,21.04,17.28,17.59,0.48,0.25,4181.68,3743.74,1.12,8.42,26.94,9.17,2.72
Sterlite Technologies Ltd.,2431.63,16.18,9.85,32.77,29.71,1.28,0.41,347.13,245.84,1.41,7.23,27.25,8.92,0.76
Stovec Industries Ltd.,46.42,23.49,13.31,22.64,34.15,1.03,0,6.62,6.55,1.01,33.47,29,2.45,1.05
Sumitomo Chemical India Ltd.,230.67,-14.02,-19.6,-58.77,-35.97,1.07,0.47,#N/A,-45.22,#N/A,0,#N/A,0,0
Take Solutions Ltd.,351.77,13.96,10.32,9.89,11.24,0.68,0.09,18.26,32.43,0.56,7.4,17.09,7.24,1.27
Thomas Cook (India) Ltd.,266.29,27.66,9.39,11.95,12.96,0.39,0.56,81.04,25.01,3.24,31.81,9.07,15.78,4.51
Thyrocare Technologies Ltd.,58.34,59.3,39.66,46.64,66.88,0.78,0,32.26,23.14,1.39,88.77,#N/A,0,0
Timex Group India Ltd.,135.59,6.16,3.36,25.03,9.9,1.11,0,11.53,4.62,2.49,0,25.07,27.87,1.43
Timken India Ltd.,316.06,16.43,9.6,10.39,14.47,0.65,0,58.38,32.53,1.79,0,16.82,10,1.92
United Spirits Ltd.,6362.31,7.38,-0.21,-0.77,8.01,0.96,1.57,1591.41,-22.71,-70.08,-138.28,45.76,37.79,2.21
Vardhman Acrylics Ltd.,270.48,23.94,15.15,26.02,33.98,1.27,0.01,44,43.44,1.01,0,40.51,0,0
Vedanta Ltd.,6650.05,53.4,39.42,41.78,47.96,0.65,0.25,2571.32,2629.13,0.98,10.27,27.92,9.24,4.92
Vesuvius India Ltd.,361.49,18.1,9.74,18.78,28.53,0.99,0,72.67,37.38,1.94,20.36,21.66,5.24,0.96
VST Industries Ltd.,471.47,10.3,5.51,25.59,35.3,2.16,0,52.5,62.01,0.85,74.71,19.01,7.27,1.76
Wabco India Ltd.,591.26,21.17,12.19,33.42,45.31,1.81,0.03,53.23,78.19,0.68,6.06,16.07,11.43,1.87
Whirlpool Of India Ltd.,2214.88,9.52,5.41,88.7,58.07,2.65,0,188.08,145.02,1.3,0,22.65,6.41,0.67
Wintac Ltd.,20.79,20.02,5.25,7.16,8.89,0.53,0.73,2.3,1.14,2.02,0,30.81,12.04,0.6
Xchanging Solutions Ltd.,1192.85,4.29,-31.2,0,-115.38,1.53,-1.82,-30.3,-372.19,0.08,0,6.05,128.12,0.7
Zim Laboratories Ltd.,98.13,15.28,6.49,31.18,29.3,1.29,1.37,#N/A,6.5,#N/A,0,#N/A,0,0
3I Infotech Ltd.,5139.5,42.22,19.73,45.95,25.44,1.28,3.69,299.16,252.51,1.18,11.7,48.57,6.03,0.46
3M India Ltd.,2382.82,27.09,16,40.33,60.43,3.67,0.04,52.65,98.81,0.53,0,14.8,22.44,3.56
ABB India Ltd.,12574.22,5.65,1.91,5.23,11.19,2.33,0,220.68,63.23,3.49,67.03,13.22,52.96,2.73
Abbott India Ltd.,2073.75,20.22,11.68,42.25,65.3,2.59,0,46.06,60.94,0.76,38.15,24.41,11.85,1.84
Accelya Solutions India Ltd.,442.18,41.03,19.22,31.87,36.9,2.59,0.02,26.36,20.94,1.26,15.16,17.64,3.81,1.1
Aegis Logistics Ltd.,3622.23,9.81,5.2,40.69,40.65,7.77,0.89,2.75,46.69,0.06,28.61,11.22,12.46,1.8
AGC Networks Ltd.,2590.4,73.49,41.83,78.3,119.78,8.29,0,18.7,26.4,0.71,24.2,20.87,3.31,0.62
Agro Tech Foods Ltd.,1441.41,9.61,8.83,38.77,57.84,5.38,0,-42.38,31.82,-1.33,13.4,24.3,17.59,1.12
Akzo Nobel India Ltd.,2193.6,38.59,29.4,33.95,42.56,1.65,0,36.3,176.6,0.21,37.51,17.99,13.8,3.14
Allsec Technologies Ltd.,317.04,8.72,-9.55,-12.69,-11.12,2.17,0.06,6.3,-7.58,-0.83,0,20.71,3.78,0.41
Ambuja Cements Ltd.,14694.54,50.15,30.59,36.64,48.78,1.72,0.02,1875.31,1262.97,1.48,31.49,30.18,8.78,2.73
Andhra Paper Ltd.,1563.63,40.42,11.08,16.63,20.81,1.37,1,124.65,44.94,2.77,8.85,22.79,6.08,0.74
Asahi India Glass Ltd.,3115.46,31.51,1.9,16.26,18.09,1.8,14.38,81.3,16.78,4.85,0,32.59,10.53,0.99
Asian Hotels (East) Ltd.,165.21,106.53,75.33,8.19,9.79,0.21,0,16.71,31.12,0.54,16.49,22.4,7.4,4
Asian Hotels (North) Ltd.,610.87,73.17,22.58,11.82,15.43,0.36,3.52,161.44,31.07,5.2,15.67,15.36,2.42,0.86
Asian Hotels (West) Ltd.,269.1,68.11,24.93,10.89,14.14,0.45,1.61,42.57,16.82,2.53,27.13,22.87,21.6,4.7
Asian Oilfield Services Ltd.,128.27,26.14,-21.38,-15.73,-12.59,1.19,0.24,-7.84,-7.54,1.04,0,18.65,6.53,1.31
Astrazeneca Pharma India Ltd.,1187.04,36.26,21.19,79.12,124.55,4.55,0,64.5,64.13,1.01,38.98,10,33.21,6.59
Banco Products (India) Ltd.,1744.38,24.98,14.45,39.7,42.64,3.15,0.72,71.71,65.63,1.09,32.69,20.98,6.69,1.39
BASF India Ltd.,6127.76,12.76,7.29,25.7,32.57,4.23,0.27,156.35,117.83,1.33,29.39,18.1,11.17,1.34
Bata India Ltd.,2551.53,27.34,13.65,53.87,75.42,3.32,0.43,58.85,88.37,0.67,29.09,22.73,13.93,1.79
Bayer CropScience Ltd.,4274.6,21.89,11.82,42.7,56.92,2.25,0.32,122.3,131.6,0.93,12.01,19.65,14.69,1.89
Bilcare Ltd.,4573.17,33.61,13.07,31.7,32.47,1.88,2.29,787.97,147.51,5.34,4.79,29.48,5.75,1
Black Rose Industries  Ltd.,175.2,15.22,6.27,46.13,38.63,3.1,2.82,1.65,2.75,0.6,7.05,19.17,5.79,0.26
Blue Dart Express Ltd.,2299.79,27.85,16.46,37.93,56.4,3,0,37.65,94.7,0.4,2.51,6.44,19.68,2.52
Bosch Ltd.,13363.5,41.01,24.11,45.91,60.01,2.22,0.13,885.91,858.91,1.03,14.62,16.83,12.68,3.03
Cairn India Ltd. (Amalgamated),20555.86,163.13,123.26,34.32,35.95,0.48,0.13,6338.12,6334.4,1,0,20.02,32.11,21.12
Capital First Ltd. - (Amalgamated),745.64,148.51,26.35,14.29,20.84,0.27,7.67,-1261.72,49.12,-25.69,19.78,14.04,13.34,5.08
Castrol India Ltd.,5469.52,47.7,30.59,187.05,282.41,5.25,0,509.9,490.31,1.04,75.65,23.94,14.37,4.17
Clariant Chemicals (India) Ltd.,1962.56,36.81,21.62,63.07,93.05,3.34,0.01,163.93,112.58,1.46,71.04,33.41,8.87,1.94
CMI FPE Ltd.,836.81,36.36,21.58,75.09,118.67,2.2,0,47.23,47.18,1,20.93,21.99,10.81,1.7
Colgate-Palmolive (India) Ltd.,4572.23,46.65,33.79,226.75,291.86,3.57,0,357.91,402.58,0.89,74.32,34.93,20.43,5.72
CreditAccess Grameen Ltd.,160.49,101.8,8.75,13.87,28.88,0.46,3.14,51.14,3.51,14.57,0,#N/A,0,0
CRISIL Ltd.,1256.89,91.7,66.26,100.55,128.89,2.06,0,146.24,208.21,0.7,68.17,16.45,15.5,7.07
CSB Bank Ltd.,1524.27,8.82,3.2,5.69,8.83,0,1.28,-139.17,12.18,-11.43,30.15,#N/A,0,0
Cummins India Ltd.,8085.06,39.36,27.57,70.2,95.63,3.31,0,429.25,590.99,0.73,50.25,25.8,20.33,3.73
Dabur India Ltd.,8209.02,38.65,27.5,108.71,85.32,2.77,1.79,531.1,568.57,0.93,35.21,23.12,24.07,4.75
DCB Bank Ltd.,1072.52,32.09,7.99,7.77,13.09,0,3.06,206.61,21.43,9.64,0,57.62,23.42,2.16
De Nora India Ltd.,33.71,47.23,35.29,23.46,25.33,1.01,0,-0.6,3.06,-0.2,90.76,37.2,12.73,2.65
Denso India Ltd.,1854.8,5.88,0.39,1.92,5.64,4.09,0.67,-32.7,2,-16.35,0,18.54,5.55,0.31
DIC India Ltd.,1106.72,15.94,16.78,45.91,54.15,3.32,0.09,0.32,50.74,0.01,9.05,23.26,5.58,0.5
Disa India Ltd.,215.27,43.1,25.76,62.88,97.21,2.87,0,14.33,15.1,0.95,0,13.72,9.24,2.48
Dixon Technologies (India) Ltd.,1159.1,2.73,0.58,4.49,5.18,4.87,2.82,-15.06,1.67,-9.01,18.57,#N/A,0,0
D-Link (India) Ltd.,256.18,9.22,5.34,9.66,14.09,2.81,0,-1.23,3.42,-0.36,26.33,32.77,8.79,0.77
Elantas Beck India Ltd.,501.92,37.88,23.54,43.02,62.91,3.01,0,16.27,32.39,0.5,11.01,9.87,10.51,2.48
Endurance Technologies Ltd.,6257.68,28,7.68,76.5,38.98,3.26,5.05,295.15,123.75,2.39,1.08,#N/A,0,0
Enkei Wheels (India) Ltd.,477.86,15.3,0.21,158.74,14.07,2.28,16.77,33.76,0.27,125.09,0,#N/A,0,0
Eros International Media Ltd.,1413.94,47.72,33.44,52.47,47.08,1.19,0.83,426.7,117.23,3.64,0,14.37,10.13,2.16
Esab India Ltd.,1000.7,36.77,21.77,65.84,99.44,4.14,0,59.56,58.96,1.01,52.22,28.12,7.68,1.89
Essar Shipping Ltd.,2637.52,51.11,5.05,1.28,3.43,0.24,1.92,213.52,33.3,6.41,0,#N/A,0,0
Ester Industries Ltd.,1343.28,62.47,36.09,116.81,114.29,3.1,1.65,82.99,129.46,0.64,19.43,20.29,5.69,0.8
Expleo Solutions Ltd.,165.85,14.68,4.52,5.38,9.48,1.93,0,-4.93,1.87,-2.64,53.69,22.23,12.59,1.48
Federal-Mogul Goetze (India) Ltd.,1865.71,26.61,9.74,26.47,36.58,2.7,0.33,99.45,39.99,2.49,8.41,14.34,6.29,1.03
Finolex Industries Ltd.,3955.45,22.73,6.95,25.22,25.05,2,2.41,-94.19,76.17,-1.24,48.86,43.73,6.31,0.69
Foseco India Ltd.,371.89,32.63,19.08,61.43,79.39,3.4,0.33,12.84,19.3,0.67,56.26,13.52,9.52,1.78
GE Power India Ltd.,3150.62,41.37,24.2,72.91,109.31,1.04,0,273.85,169.22,1.62,34.4,22.74,13.18,2.17
Gillette India Ltd.,8467.03,161.97,95.79,162.13,251.84,6.55,0,136.3,172.31,0.79,56.73,11.24,23.96,6.4
Glaxosmithkline Consumer Healthcare Ltd.,4612.24,40.66,24.67,64.31,97.45,2.19,0,326.21,299.85,1.09,70.13,36.54,16.21,3.77
Glaxosmithkline Pharmaceuticals Ltd.,4302.11,81.08,52.69,61.89,93.08,0.92,0.01,479.36,560.57,0.86,58.59,32.73,20.06,9.12
GMM Pfaudler Ltd.,389.85,21.92,11.77,24.46,36.16,2.47,0.08,28.03,12.13,2.31,33.73,21.8,7.51,0.82
Gokaldas Exports Ltd.,2290.24,-2.24,-15.71,-43.44,-15.3,2.66,1.72,85.24,-90.07,-0.95,0,5.1,10.85,0.42
Goodricke Group Ltd.,797.35,37.01,22.47,70.8,98.1,2.3,0,52.41,45,1.16,24,20.21,4.27,0.77
Goodyear India Ltd.,2594.46,18.88,10.86,62.46,95.77,5.12,0,146,74.81,1.95,21.58,22.5,3.54,0.51
GP Petroleums Ltd.,731.2,10.17,7.61,27.45,33.07,2.99,0,6.8,15.81,0.43,1.39,0.14,22.29,0.34
Grindwell Norton Ltd.,1593.54,34.5,19.38,44.28,63.54,2.44,0.11,83.06,83.61,0.99,39.73,26.37,12.07,2.35
Gujarat Gas Company Ltd. - (Amalgamation),3698.65,46.65,27.59,64.59,78.04,1.86,0.48,285.18,257.75,1.11,59.96,19.28,12.03,2.7
Gulf Oil Lubricants India Ltd.,0,0,0,1.43,1.43,0,0,0,0,1.28,0,#N/A,0,0
Heidelberg Cement India Ltd.,1731.08,26.18,12.85,17.23,26.98,1.66,0,56.42,63.3,0.89,0,17.97,3.84,1.18
Hella India Lighting Ltd.,96.62,1.45,95.88,641.27,257.89,2.57,0,-4.92,25.65,-0.19,0,15.49,67.98,1.29
Hexaware Technologies Ltd.,2109.13,23.11,20.4,23.76,26.06,1.78,0.02,12.23,107.59,0.11,40.49,26.76,7.58,1.28
Hinduja Foundries Ltd. - (Amalgamated),1105.31,22.67,2.46,8.84,12.78,1.2,5.19,-55,7.48,-7.36,0,14.33,10.84,0.71
Hindustan Unilever Ltd.,40045.1,28.33,22.03,171.79,218.56,4.32,0,1923.61,2296.05,0.84,61.13,36.93,19.74,3.36
Hindustan Zinc Ltd.,20078.34,121.95,92.32,48.21,58.72,0.94,0,4271.91,4900.49,0.87,8.62,5.54,8.55,5.69
Honda Siel Power Products Ltd.,811.3,24.47,13.78,27.89,41.79,2.57,0,10.59,29.66,0.36,25.65,28.45,5.97,1.24
Honeywell Automation India Ltd.,2705.35,22.11,15.29,43.23,57.18,3.42,0,45.63,105.05,0.43,8.42,16.98,12.6,1.79
Huhtamaki PPL Ltd.,1432.67,20.58,11.7,32.8,39.69,3.01,0.15,45.39,45.07,1.01,30.6,29.2,5.19,0.58
Indian Hume Pipe Company Ltd.,1364.2,20.12,8.05,28.11,31.97,1.97,1.75,20.92,27.97,0.75,17.32,28.23,6.96,0.55
Indostar Capital Finance Ltd.,0.46,-6257.08,-6257.11,-4.35,-4.35,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0
INEOS Styrolution India Ltd.,1484.74,29.03,17.16,46.17,68.89,2.62,0,55.24,70.03,0.79,10.04,16.67,5.23,0.93
Infinite Computer Solutions (India) Ltd.,1766.56,35.26,24.27,57.68,65.98,2.43,0.25,99.96,107.18,0.93,12.3,16.3,5.93,1.03
Ingersoll-Rand (India) Ltd.,985.49,40.79,26.13,17.24,25.55,0.77,0,1.05,68.62,0.02,27.6,24.22,8.11,3.28
ITC Ltd.,45149.4,50.95,31.4,65.87,97.05,2.57,0.02,5508.74,5017.93,1.1,68.62,34.7,17.31,6.38
ITD Cementation India Ltd.,2864.59,21.55,1.31,5.25,25.54,2.05,3.03,122.22,9.39,13.02,18.41,24.53,4.6,0.19
Jagatjit Industries Ltd.,1996.22,12.37,3.65,26.76,31.88,3.77,1.76,21.91,25.24,0.87,0,7.76,10.87,0.56
Jagran Prakashan Ltd.,2442.18,62.26,34.07,59.24,70.34,1.59,0.55,233.23,207.79,1.12,53.27,26.88,11.04,3.31
Jash Engineering Ltd.,144.13,36.15,17.42,61.85,50.49,2.43,2.54,#N/A,#N/A,#N/A,12.56,#N/A,0,0
Jayant Agro-Organics Ltd.,2381.59,10.96,4.18,47.08,34.77,5.38,4.11,73.95,24.92,2.97,10.53,31.74,9.49,0.18
Jet Airways (India) Ltd.,29416.78,25.17,-1.17,0,16.32,1.43,-159.77,1729.01,-85.84,-20.14,0,13.35,13.39,0.46
